observed_at,reason,pool_max_open,pool_open,pool_in_use,pool_idle,pool_wait_count,pool_wait_duration_ms,in_flight_callbacks,stalled_in_flight,oldest_in_flight_age_ms,in_flight_current_phase
2026-08-23T12:38:28.065118602Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:38:58.065887099Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:39:33.065144279Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:40:08.065294285Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:40:38.065395772Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:41:08.066097715Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:41:38.066126477Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:42:13.065524133Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:42:48.065311967Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:43:18.066062559Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:43:53.065061736Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:44:23.065912167Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:44:53.066120874Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:45:28.065696743Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:45:58.066028323Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:46:33.065869167Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:47:08.065473949Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:47:38.066087207Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:48:13.0660759Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:48:48.065191861Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:49:18.065290803Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:49:53.065050251Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:50:23.06511676Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:50:53.065538476Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:51:28.065730719Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:51:58.065816169Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:52:28.066133754Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:53:03.06522146Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:53:38.06605423Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:54:13.065067815Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:54:43.065853625Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:55:18.065748949Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:55:53.065174054Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:56:23.06517457Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:56:53.065343576Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:57:23.066081779Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:57:58.065493156Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:58:33.06515113Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:59:03.065164248Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:59:38.0657653Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:00:13.065049563Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:00:43.065937584Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:01:13.066044891Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
